"Species","IUCN"
"Icterus_melanopsis","LC"
"Icterus_northropi","EN"
"Icterus_laudabilis","EN"
"Icterus_dominicensis","LC"
"Icterus_cayanensis","LC"
"Icterus_pyrrhopterus","LC"
"Icterus_auricapillus","LC"
"Icterus_oberi","VU"
"Icterus_bonana","VU"
"Icterus_portoricensis","LC"
"Icterus_prosthemelas","LC"
"Icterus_spurius","LC"
"Icterus_cucullatus","LC"
"Icterus_wagleri","LC"
"Icterus_maculialatus","LC"
"Icterus_mesomelas","LC"
"Icterus_graceannae","LC"
"Icterus_pectoralis","LC"
"Icterus_icterus","LC"
"Icterus_jamacaii","LC"
"Icterus_croconotus","LC"
"Icterus_parisorum","LC"
"Icterus_graduacauda","LC"
"Icterus_chrysater","LC"
"Icterus_galbula","LC"
"Icterus_abeillei","LC"
"Icterus_nigrogularis","LC"
"Icterus_gularis","LC"
"Icterus_auratus","LC"
"Icterus_leucopteryx","LC"
"Icterus_pustulatus","LC"
"Agelaius_tricolor","EN"
"Agelaius_assimilis","LC"
"Agelaius_phoeniceus","LC"
"Agelaius_xanthomus","EN"
"Agelaius_humeralis","LC"
"Nesopsar_nigerrimus","EN"
"Ptiloxena_atroviolacea","LC"
"Euphagus_carolinus","VU"
"Euphagus_cyanocephalus","NT"
"Quiscalus_quiscula","NT"
"Quiscalus_niger","LC"
"Quiscalus_major","LC"
"Quiscalus_mexicanus","LC"
"Quiscalus_palustris","EX"
"Quiscalus_nicaraguensis","LC"
"Quiscalus_lugubris","LC"
"Dives_warczewiczi","LC"
"Dives_dives","LC"
"Amblyramphus_holosericeus","LC"
"Curaeus_curaeus","LC"
"Agelasticus_thilius","LC"
"Agelasticus_xanthophthalmus","LC"
"Agelasticus_cyanopus","LC"
"Agelaioides_badius","LC"
"Oreopsar_bolivianus","LC"
"Pseudoleistes_virescens","LC"
"Pseudoleistes_guirahuro","LC"
"Xanthopsar_flavus","EN"
"Chrysomus_icterocephalus","LC"
"Chrysomus_ruficapillus","LC"
"Gnorimopsar_chopi","LC"
"Anumara_forbesi","VU"
"Macroagelaius_subalaris","EN"
"Macroagelaius_imthurni","LC"
"Lampropsar_tanagrinus","LC"
"Hypopyrrhus_pyrohypogaster","VU"
"Gymnomystax_mexicanus","LC"
"Molothrus_rufoaxillaris","LC"
"Molothrus_oryzivorus","LC"
"Molothrus_aeneus","LC"
"Molothrus_ater","LC"
"Molothrus_bonariensis","LC"
"Cassiculus_melanicterus","LC"
"Cacicus_haemorrhous","LC"
"Cacicus_oseryi","LC"
"Cacicus_latirostris","LC"
"Cacicus_chrysonotus","LC"
"Cacicus_uropygialis","LC"
"Cacicus_cela","LC"
"Cacicus_koepckeae","NT"
"Cacicus_sclateri","LC"
"Cacicus_chrysopterus","LC"
"Cacicus_solitarius","LC"
"Psarocolius_wagleri","LC"
"Psarocolius_atrovirens","LC"
"Psarocolius_angustifrons","LC"
"Psarocolius_decumanus","LC"
"Psarocolius_viridis","LC"
"Psarocolius_montezuma","LC"
"Psarocolius_guatimozinus","LC"
"Psarocolius_cassini","VU"
"Psarocolius_bifasciatus","LC"
"Amblycercus_holosericeus","LC"
"Sturnella_magna","NT"
"Sturnella_neglecta","LC"
"Leistes_superciliaris","LC"
"Leistes_militaris","LC"
"Leistes_bellicosus","LC"
"Leistes_loyca","LC"
"Leistes_defilippii","VU"
"Dolichonyx_oryzivorus","NT"
"Xanthocephalus_xanthocephalus","LC"
"Icteria_virens","LC"
