"species","cluster"
"Euphagus_carolinus","A"
"Molothrus_bonariensis","B"
"Dives_warczewiczi","B"
"Leistes_bellicosus","B"
"Icterus_graceannae","B"
"Icterus_mesomelas","B"
"Cacicus_uropygialis","B"
"Cacicus_chrysonotus","B"
"Amblycercus_holosericeus","B"
"Icterus_croconotus","B"
"Cacicus_cela","B"
"Psarocolius_bifasciatus","B"
"Agelasticus_xanthophthalmus","B"
"Molothrus_oryzivorus","B"
"Psarocolius_decumanus","B"
"Psarocolius_angustifrons","B"
"Cacicus_uropygialis","C"
"Psarocolius_bifasciatus","C"
"Cacicus_cela","C"
"Icterus_croconotus","C"
"Icterus_cayanensis","C"
"Lampropsar_tanagrinus","C"
"Molothrus_bonariensis","C"
"Psarocolius_angustifrons","C"
"Cacicus_solitarius","C"
"Psarocolius_decumanus","C"
"Molothrus_oryzivorus","C"
"Amblycercus_holosericeus","C"
"Chrysomus_icterocephalus","C"
"Psarocolius_viridis","C"
"Gymnomystax_mexicanus","C"
"Cacicus_oseryi","C"
"Cacicus_chrysonotus","C"
"Agelasticus_xanthophthalmus","C"
"Cacicus_haemorrhous","C"
"Cacicus_latirostris","C"
"Leistes_militaris","C"
"Icterus_jamacaii","C"
"Icterus_pyrrhopterus","C"
"Cacicus_cela","D"
"Psarocolius_decumanus","D"
"Molothrus_oryzivorus","D"
"Cacicus_solitarius","D"
"Icterus_jamacaii","D"
"Gnorimopsar_chopi","D"
"Molothrus_bonariensis","D"
"Icterus_pyrrhopterus","D"
"Chrysomus_ruficapillus","D"
"Leistes_superciliaris","D"
"Anumara_forbesi","D"
"Cacicus_haemorrhous","D"
"Cacicus_solitarius","B"
"Psarocolius_viridis","B"
"Lampropsar_tanagrinus","B"
"Psarocolius_bifasciatus","D"
"Psarocolius_atrovirens","B"
"Psarocolius_atrovirens","C"
"Cacicus_koepckeae","C"
"Leistes_superciliaris","C"
"Chrysomus_ruficapillus","C"
"Icterus_croconotus","D"
"Molothrus_rufoaxillaris","D"
"Icterus_cayanensis","D"
"Agelasticus_cyanopus","D"
"Icterus_cayanensis","B"
"Agelaius_phoeniceus","A"
"Dives_warczewiczi","C"
"Gnorimopsar_chopi","C"
"Amblyramphus_holosericeus","C"
"Agelasticus_cyanopus","C"
"Agelaioides_badius","D"
"Lampropsar_tanagrinus","D"
"Amblyramphus_holosericeus","D"
"Molothrus_ater","A"
"Cacicus_chrysonotus","D"
"Psarocolius_atrovirens","D"
"Cacicus_uropygialis","D"
"Dives_warczewiczi","D"
"Agelasticus_thilius","D"
"Amblycercus_holosericeus","D"
"Cacicus_oseryi","D"
"Psarocolius_angustifrons","D"
"Agelasticus_xanthophthalmus","D"
"Leistes_militaris","D"
"Agelaioides_badius","C"
"Euphagus_cyanocephalus","A"
"Quiscalus_quiscula","A"
"Leistes_bellicosus","D"
"Agelasticus_thilius","C"
"Pseudoleistes_guirahuro","D"
"Agelasticus_thilius","B"
"Oreopsar_bolivianus","D"
"Cacicus_chrysopterus","D"
"Leistes_loyca","D"
"Xanthocephalus_xanthocephalus","A"
"Xanthopsar_flavus","D"
"Curaeus_curaeus","E"
"Leistes_loyca","E"
"Molothrus_bonariensis","E"
"Agelasticus_thilius","E"
"Pseudoleistes_virescens","D"
"Leistes_defilippii","D"
"Molothrus_rufoaxillaris","E"
"Icterus_galbula","A"
"Sturnella_neglecta","A"
"Dolichonyx_oryzivorus","A"
"Icteria_virens","A"
"Icterus_spurius","A"
"Sturnella_magna","A"
"Agelaius_tricolor","A"
"Quiscalus_mexicanus","A"
"Icterus_cucullatus","A"
"Icterus_parisorum","A"
"Quiscalus_major","A"
"Agelaius_phoeniceus","F"
"Quiscalus_mexicanus","F"
"Molothrus_ater","F"
"Euphagus_cyanocephalus","F"
"Sturnella_neglecta","F"
"Xanthocephalus_xanthocephalus","F"
"Icterus_cucullatus","F"
"Icterus_parisorum","F"
"Molothrus_aeneus","A"
"Icteria_virens","F"
"Sturnella_magna","F"
"Icterus_spurius","F"
"Quiscalus_quiscula","F"
"Icterus_pustulatus","A"
"Icterus_wagleri","A"
"Icterus_graduacauda","A"
"Molothrus_aeneus","F"
"Icterus_graduacauda","F"
"Cassiculus_melanicterus","F"
"Icterus_wagleri","F"
"Icterus_pustulatus","F"
"Molothrus_bonariensis","A"
"Icterus_gularis","F"
"Icterus_northropi","A"
"Cassiculus_melanicterus","A"
"Icterus_abeillei","A"
"Icterus_abeillei","F"
"Psarocolius_montezuma","F"
"Dives_dives","F"
"Amblycercus_holosericeus","F"
"Ptiloxena_atroviolacea","F"
"Agelaius_humeralis","F"
"Icterus_melanopsis","F"
"Molothrus_bonariensis","F"
"Quiscalus_niger","F"
"Agelaius_assimilis","F"
"Icterus_mesomelas","F"
"Icterus_chrysater","F"
"Icterus_auratus","F"
"Icterus_prosthemelas","F"
"Icterus_dominicensis","F"
"Quiscalus_palustris","F"
"Molothrus_oryzivorus","F"
"Icterus_leucopteryx","F"
"Icterus_pectoralis","F"
"Psarocolius_wagleri","F"
"Nesopsar_nigerrimus","F"
"Agelaius_xanthomus","F"
"Icterus_portoricensis","F"
"Icterus_maculialatus","F"
"Icterus_oberi","C"
"Quiscalus_lugubris","C"
"Icterus_bonana","C"
"Icterus_laudabilis","C"
"Quiscalus_nicaraguensis","F"
"Sturnella_magna","B"
"Quiscalus_mexicanus","B"
"Molothrus_aeneus","B"
"Icterus_prosthemelas","B"
"Leistes_militaris","B"
"Psarocolius_montezuma","B"
"Icterus_chrysater","B"
"Psarocolius_wagleri","B"
"Icterus_pectoralis","B"
"Dives_dives","B"
"Sturnella_magna","C"
"Icterus_nigrogularis","C"
"Icterus_icterus","C"
"Quiscalus_mexicanus","C"
"Icterus_mesomelas","C"
"Icterus_gularis","B"
"Icterus_pustulatus","B"
"Quiscalus_nicaraguensis","B"
"Agelaius_phoeniceus","B"
"Quiscalus_lugubris","B"
"Icterus_nigrogularis","B"
"Chrysomus_icterocephalus","B"
"Icterus_auricapillus","B"
"Icterus_chrysater","C"
"Icterus_auricapillus","C"
"Icterus_icterus","B"
"Psarocolius_guatimozinus","B"
"Psarocolius_cassini","B"
"Macroagelaius_subalaris","B"
"Hypopyrrhus_pyrohypogaster","B"
"Psarocolius_guatimozinus","C"
"Psarocolius_wagleri","C"
"Hypopyrrhus_pyrohypogaster","C"
"Gymnomystax_mexicanus","B"
"Macroagelaius_imthurni","C"
"Psarocolius_cassini","C"
"Macroagelaius_subalaris","C"
"Cacicus_sclateri","C"
"Cacicus_oseryi","B"
"Cacicus_haemorrhous","B"
"Leistes_bellicosus","C"
"Cacicus_sclateri","B"
